drug_id,drug_name,avg_mass,description,indication,mechanism,toxicity,ingest_dt
DB04604,5-iodotubercidin,392.1498,,__MISSING__,,,2025-11-04
DB00197,Troglitazone,441.54,Troglitazone was withdrawn in 2000 due to risk of hepatotoxicity. It was superseded by [pioglitazone] and [rosiglitazone].,__RARE__,"Troglitazone is a thiazolidinedione antidiabetic agent that lowers blood glucose by improving target cell response to insulin. It has a unique mechanism of action that is dependent on the presence of insulin for activity. Troglitazone decreases hepatic glucose output and increases insulin dependent glucose disposal in skeletal muscle. Its mechanism of action is thought to involve binding to nuclear receptors (PPAR) that regulate the transcription of a number of insulin responsive genes critical for the control of glucose and lipid metabolism. Troglitazone is a ligand to both PPARα and PPARγ, with a highter affinity for PPARγ. The drug also contains an α-tocopheroyl moiety, potentially giving it vitamin E-like activity. Troglitazone has been shown to reduce inflammation, and is associated with a decrase in nuclear factor kappa-B (NF-κB) and a concomitant increase in its inhibitor (IκB). Unlike sulfonylureas, troglitazone is not an insulin secretagogue.",,2025-11-04
DB03787,"(5-Hydroxy-6-methyl-4-{[(E)-(3-oxo-1,2-oxazolidin-4-ylidene)amino]methyl}-3-pyridinyl)methyl dihydrogen phosphate",331.2185,,__MISSING__,,,2025-11-04
DB08186,(3E)-4-(1-METHYL-1H-INDOL-3-YL)BUT-3-EN-2-ONE,199.2484,,__MISSING__,,,2025-11-04
DB07556,CGS-27023,393.457,,__MISSING__,,,2025-11-04
